1180,#nature_lovers,3,0.067873303
1190,#natureÂ,3,0.067873303
1196,#naturegram,3,0.067873303
1197,#naturehippys,3,0.067873303
1203,#naturelover,3,0.067873303
1244,#nikonphotography,3,0.067873303
1302,#pagearth,3,0.067873303
1332,#photographer,3,0.067873303
1339,#photographyÂ,3,0.067873303
1389,#poland,3,0.067873303
1441,#roamtheplanetÂ,3,0.067873303
1449,#rsa_outdoors,3,0.067873303
1489,#sky,3,0.067873303
1512,#somewheremagazine,3,0.067873303
1529,#splendid_shotz,3,0.067873303
1537,#stayandwanderÂ,3,0.067873303
1551,#sun,3,0.067873303
1556,#sunsetlover,3,0.067873303
1597,#thegreatoutdoors,3,0.067873303
1629,#topeuropephoto,3,0.067873303
1665,#traveling,3,0.067873303
1680,#travelpic,3,0.067873303
1814,#waterfall,3,0.067873303
1830,#weroamgermany,3,0.067873303
1851,#wildernesstones,3,0.067873303
1854,#wildlife,3,0.067873303
1874,#wonderfulglobe,3,0.067873303
1878,#wonderfulplaces,3,0.067873303
1892,#worldshotz,3,0.067873303
29,#4k_vibez_drone,2,0.045248869
53,#allgÃ¤utourist,2,0.045248869
55,#allyouneedisecuador,2,0.045248869
73,#alps,2,0.045248869
76,#amazing_longexpo,2,0.045248869
77,#amazing_shots,2,0.045248869
78,#amazingÂ,2,0.045248869
115,#athomeoutdoors,2,0.045248869
119,#austria,2,0.045248869
121,#autumn,2,0.045248869
127,#awesome_earth,2,0.045248869
129,#awesome_earthpixÂ,2,0.045248869
137,#awesomeglobeÂ,2,0.045248869
141,#awesometurkey,2,0.045248869
158,#bavaria,2,0.045248869
160,#Bayern,2,0.045248869
161,#bbcearth,2,0.045248869
166,#bberzurumspor,2,0.045248869
167,#bcaaÂ,2,0.045248869
171,#beachphotography,2,0.045248869
191,#Berge,2,0.045248869
198,#bestcitybreaks,2,0.045248869
207,#bestwoof,2,0.045248869
210,#bffgoals<U+0001F46D>#awesome_globepixÂ,2,0.045248869
211,#bffgoals<U+0001F46D>#httydÂ,2,0.045248869
213,#bgmÂ,2,0.045248869
224,#blueplanet,2,0.045248869
225,#bluesky,2,0.045248869
231,#boxbraids#gdragonbigbangÂ,2,0.045248869
239,#bvcracingÂ,2,0.045248869
248,#california,2,0.045248869
250,#camera,2,0.045248869
253,#campinglife,2,0.045248869
260,#canmore,2,0.045248869
261,#canon,2,0.045248869
267,#canonuk,2,0.045248869
268,#canonusa,2,0.045248869
269,#canonwhatelse,2,0.045248869
270,#capetown,2,0.045248869
279,#cbviews,2,0.045248869
280,#cdmx#cddelcarmencampecheÂ,2,0.045248869
285,#choosemountains,2,0.045248869
295,#climbing,2,0.045248869
303,#clouds,2,0.045248869
304,#cloudscape,2,0.045248869
315,#conservation,2,0.045248869
325,#createcommune,2,0.045248869
328,#createexplore,2,0.045248869
340,#dailyallgaeu,2,0.045248869
347,#deinbayern,2,0.045248869
349,#depthsofearth,2,0.045248869
363,#discovernature,2,0.045248869
367,#divine_forest,2,0.045248869
372,#dji,2,0.045248869
405,#droneoftheday,2,0.045248869
434,#earthdayeveryday,2,0.045248869
437,#earthfever,2,0.045248869
460,#earthpixÂ,2,0.045248869
